형태소,품사,분류,카운트
"’,",Punctuation,2019-07-23,5
"’,",Punctuation,2019-07-24,1
’...,Punctuation,2019-07-23,1
’...,Punctuation,2019-07-24,1
’…,Punctuation,2019-07-23,1
’…,Punctuation,2019-07-24,1
’…,Punctuation,2019-08-23,1
’…,Punctuation,2019-08-31,1
“,Foreign,2019-07-23,4
“,Foreign,2019-07-24,15
“,Foreign,2019-07-25,5
“,Foreign,2019-07-26,1
“,Foreign,2019-08-07,2
“,Foreign,2019-09-01,2
“‘,Foreign,2019-09-11,1
”,Foreign,2019-07-23,4
”,Foreign,2019-07-24,15
”,Foreign,2019-07-25,5
”,Foreign,2019-07-26,1
”,Foreign,2019-08-07,2
”,Foreign,2019-08-23,2
”,Foreign,2019-09-01,2
”,Foreign,2019-09-11,1
…,Punctuation,2019-07-23,27
…,Punctuation,2019-07-24,29
…,Punctuation,2019-07-25,9
…,Punctuation,2019-07-26,14
…,Punctuation,2019-07-27,11
…,Punctuation,2019-07-28,1
…,Punctuation,2019-08-01,1
…,Punctuation,2019-08-03,1
…,Punctuation,2019-08-11,1
…,Punctuation,2019-08-12,1
…,Punctuation,2019-08-21,2
…,Punctuation,2019-09-01,5
…,Punctuation,2019-09-06,1
…,Punctuation,2019-09-30,1
"…""",Punctuation,2019-07-23,6
"…""",Punctuation,2019-07-24,8
"…""",Punctuation,2019-08-30,1
"…""",Punctuation,2019-09-01,1
"…""",Punctuation,2019-09-06,2
…',Punctuation,2019-07-23,2
…',Punctuation,2019-07-24,1
…',Punctuation,2019-07-30,1
…’,Punctuation,2019-07-23,1
↑,Foreign,2019-07-24,3
→,Foreign,2019-07-24,3
→,Foreign,2019-07-25,1
②,Foreign,2019-08-01,1
史,Foreign,2019-07-24,1
性,Foreign,2019-07-24,3
新,Foreign,2019-07-25,1
月,Foreign,2019-07-23,3
月,Foreign,2019-07-24,2
美,Foreign,2019-07-23,2
美,Foreign,2019-07-24,2
靑,Foreign,2019-07-24,2
靑,Foreign,2019-07-26,1
高,Foreign,2019-07-24,1
가,Josa,2019-07-23,9
가,Josa,2019-07-24,7
가,Josa,2019-07-26,3
가,Josa,2019-07-27,2
가,Josa,2019-07-28,1
가,Josa,2019-08-18,1
가,Josa,2019-08-22,1
가,Josa,2019-09-11,1
가,Josa,2019-09-30,2
가,Verb,2019-07-23,2
가,Verb,2019-07-24,3
가,Verb,2019-07-26,1
가,Verb,2019-08-30,1
가격,Noun,2019-07-24,1
가까운,Adjective,2019-07-23,1
가까운,Adjective,2019-09-01,1
가능,Noun,2019-07-23,1
가능할까,Adjective,2019-07-25,1
가사노동,Noun,2019-07-24,1
가이드,Noun,2019-08-31,1
가이드,Noun,2019-09-06,2
가이드라인,Noun,2019-07-26,1
가입,Noun,2019-07-24,1
가져가는,Verb,2019-08-31,1
가족,Noun,2019-07-23,24
가족,Noun,2019-07-24,2
가족,Noun,2019-07-25,1
가지,Noun,2019-07-24,1
각광,Noun,2019-07-24,1
각양각색,Noun,2019-07-25,1
각종,Noun,2019-07-27,1
간,Noun,2019-07-26,1
간,Noun,2019-07-27,1
간과,Noun,2019-07-24,1
간다,Noun,2019-07-24,1
갈등,Noun,2019-07-24,1
감,Noun,2019-07-23,3
감,Noun,2019-07-24,3
감,Noun,2019-07-25,5
감,Noun,2019-07-26,2
감자,Noun,2019-07-24,1
갑론,Noun,2019-07-24,3
갑부,Noun,2019-07-25,1
갑자기,Noun,2019-07-24,1
갑작스런,Adjective,2019-07-24,1
값,Noun,2019-07-25,1
값,Noun,2019-08-07,1
강남,Noun,2019-07-23,26
강남,Noun,2019-07-24,7
강남,Noun,2019-07-25,1
강남,Noun,2019-07-30,1
강남,Noun,2019-08-07,1
강남,Noun,2019-08-30,2
강남,Noun,2019-08-31,1
강남,Noun,2019-09-01,2
강남,Noun,2019-09-06,1
강남,Noun,2019-09-23,1
강요,Noun,2019-07-24,1
강행,Noun,2019-07-24,1
강화,Noun,2019-07-24,1
갖고,Verb,2019-07-23,1
같다,Adjective,2019-07-24,1
같다,Adjective,2019-09-30,1
같은,Adjective,2019-07-26,1
같은,Adjective,2019-07-30,1
개,Noun,2019-07-24,2
개,Noun,2019-08-19,1
개,Noun,2019-09-01,1
개선,Noun,2019-09-06,1
갯수,Noun,2019-07-24,1
거대,Noun,2019-07-24,1
거위,Noun,2019-08-31,1
걱정,Noun,2019-07-24,3
건물,Noun,2019-07-23,10
건물,Noun,2019-07-24,14
건물,Noun,2019-07-25,1
건물,Noun,2019-07-26,2
건물,Noun,2019-07-27,1
건물,Noun,2019-07-28,1
건물,Noun,2019-08-09,1
건물,Noun,2019-09-01,1
건물,Noun,2019-09-23,1
건전하고,Adjective,2019-07-24,1
걸까,Verb,2019-08-09,1
걸까,Verb,2019-08-18,1
검색어,Noun,2019-07-24,1
것,Noun,2019-07-23,3
것,Noun,2019-07-24,1
것,Noun,2019-07-26,1
것,Noun,2019-08-17,1
것,Noun,2019-08-31,1
것,Noun,2019-09-01,1
것,Noun,2019-09-30,1
게,Josa,2019-07-23,1
게시,Noun,2019-07-25,1
겨,Noun,2019-09-01,1
겪은,Verb,2019-07-23,1
결과,Noun,2019-08-07,1
경보,Noun,2019-07-23,2
경영,Noun,2019-08-30,1
경위,Noun,2019-08-30,1
경쟁,Noun,2019-07-26,1
경종,Noun,2019-07-26,1
계,Suffix,2019-07-26,1
계,Suffix,2019-07-27,1
고,Josa,2019-07-24,1
고,Josa,2019-09-01,1
고발,Noun,2019-07-23,2
고발,Noun,2019-07-24,9
고작,Noun,2019-07-23,2
고정관념,Noun,2019-07-24,3
고착,Noun,2019-07-24,1
공간,Noun,2019-08-31,1
공개,Noun,2019-07-23,1
공개,Noun,2019-07-25,1
공개,Noun,2019-08-30,2
공개,Noun,2019-08-31,3
공룡,Noun,2019-08-22,1
공부,Noun,2019-07-25,2
공부,Noun,2019-08-14,1
공유,Noun,2019-07-23,2
과,Josa,2019-07-23,1
과,Josa,2019-07-26,1
과,Josa,2019-07-30,1
과,Josa,2019-08-02,1
과,Josa,2019-08-25,1
과거,Noun,2019-07-24,12
과거,Noun,2019-07-27,1
과거,Noun,2019-09-06,1
과도,Noun,2019-07-26,1
과열,Noun,2019-07-24,1
과장,Noun,2019-08-30,1
과장,Noun,2019-09-01,1
과장,Noun,2019-09-06,2
관련,Noun,2019-07-25,1
관리,Noun,2019-07-26,1
관심,Noun,2019-07-23,3
관심,Noun,2019-07-24,3
광고,Noun,2019-07-23,16
광고,Noun,2019-07-24,4
광고,Noun,2019-07-30,1
광고,Noun,2019-08-01,1
광고,Noun,2019-08-03,1
광고,Noun,2019-08-19,1
광고,Noun,2019-08-21,1
광고,Noun,2019-08-25,1
광고,Noun,2019-09-01,1
광고,Noun,2019-09-30,2
괜찮은,Adjective,2019-08-09,1
괴물,Noun,2019-07-23,3
괴물,Noun,2019-07-24,1
교육,Noun,2019-07-23,1
구,Modifier,2019-07-23,12
구,Modifier,2019-07-24,11
구,Modifier,2019-08-21,1
구,Modifier,2019-08-28,1
구,Modifier,2019-09-01,2
구급차,Noun,2019-07-24,2
구독,Noun,2019-07-23,2
구독,Noun,2019-07-24,2
구독,Noun,2019-07-25,1
구독,Noun,2019-08-03,1
구독,Noun,2019-09-01,1
구매,Noun,2019-07-24,1
구십,Modifier,2019-07-23,2
구십,Modifier,2019-07-24,2
구입,Noun,2019-07-24,1
구조,Noun,2019-07-24,2
구조,Noun,2019-08-07,1
구호단체,Noun,2019-07-24,1
국내,Noun,2019-07-23,5
국민,Noun,2019-07-24,3
국민,Noun,2019-07-25,4
국민,Noun,2019-07-26,1
국제,Noun,2019-07-24,1
굶,Verb,2019-09-01,1
권,Suffix,2019-07-24,1
규모,Noun,2019-07-23,2
규정,Noun,2019-07-23,1
규제,Noun,2019-07-24,2
규제,Noun,2019-08-05,1
그,Determiner,2019-08-31,1
그,Determiner,2019-09-01,1
그,Determiner,2019-09-02,1
그,Determiner,2019-09-06,1
그,Noun,2019-09-01,1
그것,Noun,2019-08-31,1
그것,Noun,2019-09-01,1
그것,Noun,2019-09-06,3
그것,Noun,2019-09-07,1
그냥,Noun,2019-09-01,1
그러면,Adverb,2019-07-26,1
그릇,Noun,2019-07-24,2
그리고,Conjunction,2019-07-23,1
그림자,Noun,2019-09-11,1
그만,Adverb,2019-08-23,1
그저,Adverb,2019-07-23,2
극,Suffix,2019-07-24,2
극,Suffix,2019-09-01,1
글,Noun,2019-07-24,2
글,Noun,2019-07-25,3
금액,Noun,2019-07-23,2
금액,Noun,2019-09-03,1
금지,Noun,2019-08-01,1
급,Suffix,2019-07-23,1
급,Suffix,2019-07-24,3
급부,Noun,2019-07-23,2
급부,Noun,2019-07-24,1
급증,Noun,2019-07-23,1
기다리는,Verb,2019-08-02,1
기다림,Noun,2019-08-02,1
기록,Noun,2019-07-24,1
기부,Noun,2019-07-23,1
기승,Noun,2019-08-03,1
기업,Noun,2019-07-23,1
기적,Noun,2019-09-11,1
기준,Noun,2019-09-01,1
기획,Noun,2019-07-23,1
기획,Noun,2019-07-26,2
기획,Noun,2019-07-27,1
길,Noun,2019-07-23,8
길,Noun,2019-07-24,2
길,Noun,2019-07-25,2
김성은,Noun,2019-07-29,1
까지,Josa,2019-07-24,6
까지,Josa,2019-07-25,3
까지,Josa,2019-07-30,2
까지,Josa,2019-09-01,1
깜짝,Noun,2019-07-23,1
깜찍,Noun,2019-07-23,1
꼬마,Noun,2019-07-23,4
꼬마,Noun,2019-07-24,1
꼬마,Noun,2019-07-25,1
꼭,Noun,2019-07-25,1
꿈,Noun,2019-07-30,1
꿈,Noun,2019-08-03,1
끝,Noun,2019-07-23,2
나,Josa,2019-07-25,1
나,Josa,2019-08-23,1
나,Noun,2019-07-23,3
나,Noun,2019-07-25,1
나,Noun,2019-07-30,1
나가는,Verb,2019-07-27,1
나도,Verb,2019-08-03,1
나무,Noun,2019-07-24,2
나무,Noun,2019-07-25,1
나온,Verb,2019-09-02,1
낙점,Noun,2019-07-24,2
난리,Noun,2019-07-24,2
난리,Noun,2019-09-30,1
날,Noun,2019-09-30,1
날로,Noun,2019-08-17,1
남긴다,Verb,2019-07-23,1
남짓,Noun,2019-07-23,2
납부,Noun,2019-09-01,1
났네,Verb,2019-07-24,1
낮았으나,Adjective,2019-09-06,1
내,Determiner,2019-08-31,1
내년,Noun,2019-07-24,1
내용,Noun,2019-07-23,1
내용,Noun,2019-07-24,1
내용,Noun,2019-07-26,3
내용,Noun,2019-07-27,3
낸,Verb,2019-07-26,1
낸다,Verb,2019-09-30,1
냉혹,Noun,2019-09-11,1
너,Modifier,2019-07-25,1
너,Modifier,2019-08-07,1
너무,Adverb,2019-07-25,1
너비,Noun,2019-07-23,1
너비,Noun,2019-07-24,3
넘는,Verb,2019-07-30,1
넘는,Verb,2019-09-01,2
넘어간,Verb,2019-07-24,1
넘었다,Verb,2019-07-23,1
넘은,Verb,2019-07-24,2
넘자,Verb,2019-07-27,1
네티즌,Noun,2019-07-24,4
네티즌,Noun,2019-07-25,1
노,Noun,2019-07-24,1
노,Noun,2019-09-01,1
노동법,Noun,2019-07-25,1
논란,Noun,2019-07-23,2
논란,Noun,2019-07-24,25
논란,Noun,2019-07-25,3
논란,Noun,2019-07-27,2
논란,Noun,2019-07-29,1
논란,Noun,2019-07-30,2
논란,Noun,2019-08-02,1
논란,Noun,2019-08-30,1
논란,Noun,2019-08-31,2
논란,Noun,2019-09-01,1
논란,Noun,2019-09-06,1
논란,Noun,2019-09-07,1
놀라,Verb,2019-07-23,2
놀러,Verb,2019-07-26,1
놀러,Verb,2019-07-27,1
놀이,Noun,2019-07-24,1
놀이,Noun,2019-07-26,3
높다,Adjective,2019-07-23,1
높아지는,Verb,2019-07-24,1
높은,Adjective,2019-07-23,1
누가,Noun,2019-07-26,1
누구,Noun,2019-07-23,6
누구,Noun,2019-07-24,3
누구,Noun,2019-07-25,1
누군가,Noun,2019-07-26,1
누리꾼,Noun,2019-07-23,3
누리꾼,Noun,2019-07-24,5
누리꾼,Noun,2019-07-25,2
누적,Noun,2019-07-24,1
눈,Noun,2019-07-24,1
눈,Noun,2019-09-01,1
눈길,Noun,2019-07-23,2
눈길,Noun,2019-07-24,4
뉴미디어,Noun,2019-07-30,1
느껴,Verb,2019-07-25,1
느껴진다,Verb,2019-07-23,1
느끼는,Verb,2019-07-24,1
느낀다,Verb,2019-07-24,1
느낀다,Verb,2019-07-25,1
는,Josa,2019-07-23,12
는,Josa,2019-07-24,12
는,Josa,2019-07-25,2
는,Josa,2019-07-26,5
는,Josa,2019-07-27,3
는,Josa,2019-07-30,2
는,Josa,2019-08-01,1
는,Josa,2019-08-02,1
는,Josa,2019-08-05,1
는,Josa,2019-08-30,2
는,Josa,2019-08-31,2
는,Josa,2019-09-01,2
는,Josa,2019-09-23,1
는,Verb,2019-07-24,1
는,Verb,2019-09-11,1
능가,Noun,2019-07-23,2
능력,Noun,2019-07-23,3
능력,Noun,2019-07-24,1
니,Josa,2019-07-24,1
다는,Verb,2019-07-26,1
다달이,Noun,2019-07-23,2
다달이,Noun,2019-07-24,1
다른,Noun,2019-07-27,1
다리,Noun,2019-07-24,4
단,Modifier,2019-07-24,1
단골,Noun,2019-07-23,1
단독,Noun,2019-07-24,1
단독주택,Noun,2019-07-25,1
단순,Noun,2019-07-24,1
단순,Noun,2019-08-30,1
달,Noun,2019-07-23,8
달,Noun,2019-07-24,1
달,Noun,2019-07-25,2
달,Noun,2019-07-26,1
달,Noun,2019-09-01,1
달라,Noun,2019-08-05,1
달렸다,Verb,2019-07-24,1
달치,Noun,2019-07-24,3
담는,Verb,2019-07-23,2
당,Suffix,2019-07-24,2
