형태소,품사,분류,카운트
유,Noun,2019-08-18,1
유명,Noun,2019-07-23,1
유아,Noun,2019-07-23,3
유아,Noun,2019-07-26,2
유아,Noun,2019-07-27,3
유익한,Adjective,2019-07-24,1
유투,Noun,2019-07-30,1
유투,Noun,2019-08-31,1
유튜,Noun,2019-07-23,2
유튜,Noun,2019-07-24,1
유튜,Noun,2019-07-25,1
유튜,Noun,2019-07-26,2
유튜버,Noun,2019-07-23,51
유튜버,Noun,2019-07-24,25
유튜버,Noun,2019-07-25,7
유튜버,Noun,2019-07-26,1
유튜버,Noun,2019-07-27,4
유튜버,Noun,2019-07-28,1
유튜버,Noun,2019-07-30,1
유튜버,Noun,2019-08-02,2
유튜버,Noun,2019-08-03,1
유튜버,Noun,2019-08-07,2
유튜버,Noun,2019-08-11,1
유튜버,Noun,2019-08-19,1
유튜버,Noun,2019-08-21,1
유튜버,Noun,2019-08-23,2
유튜버,Noun,2019-08-28,1
유튜버,Noun,2019-08-31,2
유튜버,Noun,2019-09-01,2
유튜버,Noun,2019-09-03,1
유튜버,Noun,2019-09-11,1
유튜버라,Noun,2019-07-25,1
유튜버보,Noun,2019-07-25,1
유튜브,Noun,2019-07-23,13
유튜브,Noun,2019-07-24,11
유튜브,Noun,2019-07-25,6
유튜브,Noun,2019-07-26,5
유튜브,Noun,2019-07-27,3
유튜브,Noun,2019-07-30,1
유튜브,Noun,2019-08-01,1
유튜브,Noun,2019-08-02,1
유튜브,Noun,2019-08-03,1
유튜브,Noun,2019-08-09,2
유튜브,Noun,2019-08-12,1
유튜브,Noun,2019-08-17,1
유튜브,Noun,2019-08-21,1
유튜브,Noun,2019-08-30,2
유튜브,Noun,2019-08-31,4
유튜브,Noun,2019-09-01,1
유튜브,Noun,2019-09-05,1
유튜브,Noun,2019-09-11,1
유튜브,Noun,2019-09-30,2
유트버,Noun,2019-07-23,1
유해,Noun,2019-07-26,1
유행,Noun,2019-07-23,2
유혹,Noun,2019-08-03,1
육박,Noun,2019-07-23,1
으로,Josa,2019-07-23,2
으로,Josa,2019-07-24,7
으로,Josa,2019-07-26,3
으로,Josa,2019-07-27,1
으로,Josa,2019-08-07,2
으로,Josa,2019-08-09,1
으로,Josa,2019-08-23,1
은,Josa,2019-07-23,9
은,Josa,2019-07-24,6
은,Josa,2019-07-26,1
은,Josa,2019-07-27,1
은,Josa,2019-08-03,1
은,Josa,2019-08-12,1
은,Josa,2019-08-23,1
은,Josa,2019-09-01,5
은,Josa,2019-09-03,1
은,Josa,2019-09-11,1
을,Josa,2019-07-23,4
을,Josa,2019-07-24,6
을,Josa,2019-07-25,1
을,Josa,2019-07-26,3
을,Josa,2019-07-27,1
을,Josa,2019-08-02,2
을,Josa,2019-08-30,1
을,Josa,2019-09-30,1
음악,Noun,2019-07-26,1
응보,Noun,2019-07-24,1
의,Josa,2019-07-23,11
의,Josa,2019-07-24,10
의,Josa,2019-07-25,1
의,Josa,2019-07-26,6
의,Josa,2019-07-27,3
의,Josa,2019-07-30,4
의,Josa,2019-08-02,1
의,Josa,2019-08-23,1
의,Noun,2019-07-23,1
의,Noun,2019-07-24,1
의,Noun,2019-07-26,1
의,Noun,2019-07-27,1
의,Noun,2019-08-11,1
의,Noun,2019-08-14,2
의,Noun,2019-08-23,1
의,Noun,2019-09-01,2
의,Noun,2019-09-02,1
의,Noun,2019-09-30,1
의사,Noun,2019-09-07,1
의혹,Noun,2019-09-01,1
이,Josa,2019-07-23,23
이,Josa,2019-07-24,10
이,Josa,2019-07-25,4
이,Josa,2019-07-26,1
이,Josa,2019-07-27,3
이,Josa,2019-07-29,1
이,Josa,2019-07-30,1
이,Josa,2019-08-14,1
이,Josa,2019-08-23,2
이,Josa,2019-08-25,1
이,Josa,2019-08-31,2
이,Josa,2019-09-01,5
이,Josa,2019-09-06,3
이,Josa,2019-09-07,1
이,Noun,2019-07-23,3
이,Noun,2019-07-24,1
이,Noun,2019-07-26,1
이,Suffix,2019-07-23,2
이,Suffix,2019-07-24,2
이,Suffix,2019-07-26,2
이,Suffix,2019-07-27,1
이,Suffix,2019-08-22,1
이,Suffix,2019-09-23,1
이길래,Verb,2019-07-23,1
이길래,Verb,2019-07-26,3
이길래,Verb,2019-07-27,3
이는,Verb,2019-07-27,1
이다,Josa,2019-07-24,2
이대로,Adverb,2019-08-01,1
이랑,Josa,2019-08-23,1
이러니,Conjunction,2019-07-23,2
이런,Adjective,2019-07-26,1
이렇게,Adverb,2019-09-02,1
이룬,Verb,2019-07-23,1
이뤄,Verb,2019-07-26,1
이르는,Verb,2019-07-23,2
이름,Noun,2019-07-25,1
이면,Noun,2019-07-23,1
이면,Noun,2019-07-24,3
이모,Noun,2019-07-23,1
이보람,Noun,2019-07-23,2
이보람,Noun,2019-07-24,1
이보람,Noun,2019-08-31,1
이보람,Noun,2019-09-01,1
이상,Noun,2019-07-23,5
이상,Noun,2019-08-19,1
이상,Noun,2019-08-23,1
이상,Noun,2019-09-01,1
이야기,Noun,2019-08-31,1
이어져,Verb,2019-07-24,2
이용,Noun,2019-07-24,2
이용,Noun,2019-07-26,1
이유,Noun,2019-07-23,3
이유,Noun,2019-07-24,8
이유,Noun,2019-07-30,2
이유,Noun,2019-08-12,1
이유,Noun,2019-08-30,1
이유,Noun,2019-09-01,1
이의,Noun,2019-07-23,2
이의,Noun,2019-07-26,2
이자,Noun,2019-07-26,1
이제,Noun,2019-08-21,1
이태임,Noun,2019-07-23,1
이틀,Noun,2019-07-24,1
이해,Noun,2019-07-24,1
이효리,Noun,2019-07-25,1
이후,Noun,2019-07-25,1
이후,Noun,2019-07-27,1
인,Josa,2019-07-24,2
인,Josa,2019-08-31,1
인,Josa,2019-09-01,1
인,Josa,2019-09-30,1
인,Noun,2019-07-25,1
인가,Josa,2019-08-31,2
인권,Noun,2019-07-26,1
인기,Noun,2019-07-23,9
인기,Noun,2019-07-24,3
인기,Noun,2019-07-25,1
인기,Noun,2019-07-26,1
인기,Noun,2019-08-12,1
인데,Josa,2019-07-24,1
인들,Josa,2019-07-24,1
인식,Noun,2019-09-06,1
인정,Noun,2019-07-23,3
인지,Josa,2019-07-24,2
인형,Noun,2019-07-24,5
일,Noun,2019-07-24,3
일,Noun,2019-09-06,1
일까,Verb,2019-07-24,1
일까,Verb,2019-08-03,2
일부,Noun,2019-07-23,3
일상,Noun,2019-08-21,1
일정,Noun,2019-07-24,1
일침,Noun,2019-07-24,3
일파,Noun,2019-07-24,1
임대,Noun,2019-07-23,1
임신,Noun,2019-07-24,4
임원,Noun,2019-07-24,3
입,Noun,2019-07-23,1
입양,Noun,2019-07-23,1
입장,Noun,2019-08-30,1
잇따라,Verb,2019-07-24,1
잇따라,Verb,2019-07-25,1
있나,Adjective,2019-07-25,1
있네,Adjective,2019-08-12,1
있는,Adjective,2019-07-23,1
있는,Adjective,2019-07-27,1
있다,Adjective,2019-07-23,2
있다,Adjective,2019-07-24,1
있어,Adjective,2019-08-30,1
있어,Adjective,2019-09-01,1
있어야,Adjective,2019-07-24,1
있었다,Adjective,2019-07-29,1
있었던,Adjective,2019-07-24,1
있지만,Adjective,2019-07-25,1
자,Suffix,2019-07-23,1
자,Suffix,2019-07-24,1
자,Suffix,2019-07-26,1
자,Suffix,2019-07-27,1
자괴,Noun,2019-07-23,1
자괴,Noun,2019-07-24,1
자극,Noun,2019-07-24,1
자녀,Noun,2019-08-14,1
자리,Noun,2019-07-27,1
자만,Noun,2019-07-23,1
자수,Noun,2019-07-23,1
자수,Noun,2019-07-24,1
자수,Noun,2019-08-03,1
자수,Noun,2019-09-01,1
자의,Noun,2019-07-25,1
잘,Verb,2019-07-24,1
잘,Verb,2019-07-27,1
잡지,Noun,2019-07-27,1
장,Noun,2019-07-23,2
장난감,Noun,2019-07-23,2
장난감,Noun,2019-07-24,2
장난감,Noun,2019-07-26,1
장사,Noun,2019-07-23,1
재,Noun,2019-07-24,3
재,Noun,2019-07-25,1
재미,Noun,2019-07-23,1
재벌,Noun,2019-07-23,4
재산권,Noun,2019-07-24,2
저격,Noun,2019-07-25,1
저력,Noun,2019-07-23,1
저작권,Noun,2019-07-25,1
저작권,Noun,2019-09-06,1
적,Noun,2019-07-24,2
적,Suffix,2019-07-23,2
적,Suffix,2019-07-24,6
적,Suffix,2019-07-25,2
적,Suffix,2019-07-26,3
적,Suffix,2019-08-11,1
적,Suffix,2019-09-01,2
적,Suffix,2019-09-02,1
적,Suffix,2019-09-06,1
적,Suffix,2019-09-30,1
적극,Noun,2019-09-06,1
적신호,Noun,2019-07-23,1
적응해야해,Adjective,2019-07-23,1
전,Noun,2019-07-23,1
전문,Noun,2019-07-26,1
전문,Noun,2019-07-27,1
전성,Noun,2019-07-25,1
전세계,Noun,2019-07-23,1
전세계,Noun,2019-07-24,1
전적,Noun,2019-07-24,3
전제,Noun,2019-07-24,1
전체,Noun,2019-07-23,1
절단,Noun,2019-07-24,5
절도,Noun,2019-07-24,1
정기,Noun,2019-09-06,1
정당하게,Adjective,2019-07-24,1
정당한,Adjective,2019-07-24,2
정도,Noun,2019-07-23,1
정도,Noun,2019-07-25,1
정말,Noun,2019-08-02,1
정서,Noun,2019-07-24,3
정책,Noun,2019-09-30,2
정체,Noun,2019-07-29,1
제,Noun,2019-08-14,1
제,Noun,2019-08-23,1
제,Noun,2019-09-30,1
제각각,Noun,2019-07-24,1
제외,Noun,2019-08-21,1
제작,Noun,2019-07-26,1
제작,Noun,2019-08-31,1
제작자,Noun,2019-07-24,1
제재,Noun,2019-07-25,2
제재,Noun,2019-07-26,2
제한,Noun,2019-07-24,3
제휴,Noun,2019-07-23,2
조,Modifier,2019-07-24,6
조,Modifier,2019-07-26,1
조명,Noun,2019-07-24,3
조명,Noun,2019-07-25,1
조사,Noun,2019-08-07,1
조작,Noun,2019-08-03,1
조장,Noun,2019-07-24,2
조치,Noun,2019-07-24,2
조회,Noun,2019-07-23,1
존재,Noun,2019-07-23,1
좋아하는,Adjective,2019-07-24,1
좋은가,Adjective,2019-08-01,1
좌,Noun,2019-07-24,1
좌,Noun,2019-09-30,1
죠,Josa,2019-07-24,1
주,Modifier,2019-08-07,1
주,Noun,2019-07-23,4
주,Noun,2019-07-24,5
주,Noun,2019-09-23,1
주관,Noun,2019-07-27,1
주목,Noun,2019-07-23,1
주목,Noun,2019-07-27,3
주의,Noun,2019-07-24,1
주인공,Noun,2019-07-23,2
주인공,Noun,2019-07-24,1
준다,Verb,2019-09-30,1
준비,Noun,2019-07-25,1
준수,Noun,2019-08-31,1
준수,Noun,2019-09-06,2
중,Noun,2019-09-01,1
중개업,Noun,2019-07-26,1
중개업,Noun,2019-07-27,1
중앙,Noun,2019-08-07,1
중인,Noun,2019-07-23,1
즐겨,Verb,2019-07-24,1
즐기는,Verb,2019-07-26,1
증가,Noun,2019-07-30,1
증거,Noun,2019-09-02,1
지갑,Noun,2019-07-24,5
지금,Noun,2019-09-01,1
지나치게,Verb,2019-09-01,1
지나치게,Verb,2019-09-06,1
지난,Noun,2019-07-27,1
지난해,Noun,2019-08-28,1
지만,Josa,2019-07-23,1
지상파,Noun,2019-08-22,1
지시,Noun,2019-07-24,2
지키나,Verb,2019-07-26,1
직업,Noun,2019-07-25,1
직장,Noun,2019-07-24,1
직장인,Noun,2019-07-24,1
직접,Noun,2019-08-01,1
직종,Noun,2019-07-24,3
진실,Noun,2019-07-25,1
진실,Noun,2019-09-01,1
진정,Noun,2019-07-26,1
진짜,Noun,2019-07-24,2
질투,Noun,2019-07-24,1
질투,Noun,2019-07-25,1
집,Noun,2019-08-14,1
집이라면,Verb,2019-07-23,1
집중,Noun,2019-07-23,1
집행유예,Noun,2019-07-24,1
짜리,Verb,2019-07-23,1
짜리,Verb,2019-07-24,1
짜리,Verb,2019-07-26,1
짜장,Noun,2019-07-24,1
짜장라면,Noun,2019-07-25,1
짜장면,Noun,2019-07-24,1
짜파게티,Noun,2019-07-24,1
째,Suffix,2019-07-24,1
쩌,Noun,2019-07-23,1
쩐다,Noun,2019-07-27,1
쯔양,Noun,2019-07-23,2
차,Noun,2019-07-24,2
차단,Noun,2019-07-23,3
차도,Noun,2019-07-24,1
차로,Noun,2019-07-24,3
착잡,Noun,2019-07-24,1
참,Verb,2019-07-27,1
참고,Noun,2019-08-14,1
채널,Noun,2019-07-23,2
채널,Noun,2019-07-24,3
채널,Noun,2019-07-27,1
채널,Noun,2019-08-12,1
채널,Noun,2019-08-19,1
채널,Noun,2019-08-31,2
채널,Noun,2019-09-01,1
채널,Noun,2019-09-30,1
처럼,Josa,2019-07-26,1
처음,Noun,2019-08-07,1
천문학,Noun,2019-07-24,1
천칠백만,Noun,2019-09-01,2
철저히,Adjective,2019-08-31,1
청담,Noun,2019-07-23,3
청담동,Noun,2019-07-23,22
청담동,Noun,2019-07-24,11
청담동,Noun,2019-07-27,1
청담동,Noun,2019-08-03,1
청와대,Noun,2019-07-25,1
청와대,Noun,2019-08-05,1
청원,Noun,2019-07-24,3
청원,Noun,2019-07-25,6
청원,Noun,2019-07-26,2
청원,Noun,2019-08-05,1
초라하게,Adjective,2019-07-23,1
초월,Noun,2019-07-23,2
초토화,Noun,2019-07-23,1
촬영,Noun,2019-08-14,1
촬영현장,Noun,2019-08-31,1
최,Noun,2019-09-07,1
최고,Noun,2019-07-23,2
최고,Noun,2019-07-24,1
최고,Noun,2019-07-26,2
최대,Noun,2019-07-23,3
최대,Noun,2019-07-24,1
최소,Noun,2019-07-23,10
최소,Noun,2019-07-24,1
추정,Noun,2019-07-23,2
추정,Noun,2019-07-26,1
추정,Noun,2019-08-19,1
추정,Noun,2019-08-23,1
추진,Noun,2019-08-21,1
출산,Noun,2019-07-24,6
출산,Noun,2019-07-25,1
충격,Noun,2019-07-24,3
충격,Noun,2019-09-01,1
충격,Noun,2019-09-02,1
충격,Noun,2019-09-30,1
취소,Noun,2019-07-24,1
측,Noun,2019-07-26,1
측,Suffix,2019-07-24,1
측,Suffix,2019-08-30,1
측,Suffix,2019-08-31,1
측,Suffix,2019-09-01,2
층,Noun,2019-07-23,5
층,Noun,2019-07-24,1
치는,Verb,2019-07-26,1
치료,Noun,2019-07-23,1
친구,Noun,2019-07-26,2
침해,Noun,2019-07-24,2
침해,Noun,2019-09-05,1
커뮤니티,Noun,2019-07-27,1
커지는,Verb,2019-07-24,1
컨텐츠,Noun,2019-07-24,3
컵,Noun,2019-07-24,1
컷,Noun,2019-07-24,1
콘셉트,Noun,2019-07-24,1
콘텐츠,Noun,2019-07-24,3
콘텐츠,Noun,2019-07-26,1
콘텐츠,Noun,2019-08-09,1
콘텐츠,Noun,2019-09-01,1
콜라,Noun,2019-07-23,1
크리에이터,Noun,2019-07-24,1
크리에이터,Noun,2019-07-25,1
크리에이터,Noun,2019-08-07,1
클릭,Noun,2019-07-26,1
키즈,Noun,2019-07-23,4
키즈,Noun,2019-07-24,4
키즈,Noun,2019-07-25,3
키즈,Noun,2019-07-30,1
키즈,Noun,2019-08-02,2
키즈,Noun,2019-08-03,1
키즈,Noun,2019-08-09,2
키즈,Noun,2019-08-18,1
키즈,Noun,2019-08-30,1
키즈,Noun,2019-08-31,4
키즈,Noun,2019-09-01,1
키즈,Noun,2019-09-03,1
키즈,Noun,2019-09-30,1
타,Noun,2019-07-24,1
탄식,Noun,2019-07-24,1
테크,Noun,2019-07-26,2
테크,Noun,2019-08-03,1
토이,Noun,2019-07-26,2
통령,Noun,2019-07-24,1
퇴사,Noun,2019-07-30,1
투자,Noun,2019-07-24,2
투자,Noun,2019-08-30,1
튜버,Noun,2019-07-23,2
튜버,Noun,2019-07-27,1
튜버,Noun,2019-08-18,1
튜브,Noun,2019-07-23,115
튜브,Noun,2019-07-24,111
튜브,Noun,2019-07-25,12
튜브,Noun,2019-07-26,19
튜브,Noun,2019-07-27,13
튜브,Noun,2019-07-28,1
튜브,Noun,2019-07-29,1
튜브,Noun,2019-07-30,3
튜브,Noun,2019-08-01,1
튜브,Noun,2019-08-03,2
튜브,Noun,2019-08-05,1
튜브,Noun,2019-08-07,2
튜브,Noun,2019-08-09,1
튜브,Noun,2019-08-11,1
튜브,Noun,2019-08-12,1
튜브,Noun,2019-08-17,1
튜브,Noun,2019-08-19,1
튜브,Noun,2019-08-21,2
튜브,Noun,2019-08-23,1
튜브,Noun,2019-08-25,1
튜브,Noun,2019-08-30,5
튜브,Noun,2019-08-31,6
튜브,Noun,2019-09-01,15
튜브,Noun,2019-09-02,1
튜브,Noun,2019-09-05,1
튜브,Noun,2019-09-06,8
튜브,Noun,2019-09-07,1
튜브,Noun,2019-09-11,1
튜브,Noun,2019-09-30,2
트윈,Noun,2019-07-27,1
티,Noun,2019-07-24,1
팅,Noun,2019-07-26,2
파,Noun,2019-07-24,2
파급,Noun,2019-07-27,1
파장,Noun,2019-07-26,1
팍팍한데,Adjective,2019-07-27,1
판단,Noun,2019-07-24,1
패밀리,Noun,2019-07-23,10
패밀리,Noun,2019-07-24,6
패밀리,Noun,2019-07-26,2
패밀리,Noun,2019-07-27,2
패밀리,Noun,2019-08-30,1
패밀리,Noun,2019-09-03,1
패밀리,Noun,2019-09-06,1
팩,Noun,2019-07-24,1
팬,Noun,2019-07-23,1
팬,Noun,2019-07-27,1
페이,Noun,2019-07-26,2
평균,Noun,2019-07-24,1
평균,Noun,2019-08-07,1
평균,Noun,2019-09-01,3
평당,Adverb,2019-07-24,1
표적,Noun,2019-07-24,1
표적,Noun,2019-08-21,1
품목,Noun,2019-07-23,1
풍문,Noun,2019-08-19,1
풍문,Noun,2019-08-23,1
퓨디파이,Noun,2019-08-28,1
하기,Verb,2019-07-26,1
하기보다,Verb,2019-08-11,1
하기에,Verb,2019-07-24,1
하나,Noun,2019-07-24,1
하는,Verb,2019-07-23,2
하는,Verb,2019-07-24,2
하는,Verb,2019-07-25,1
하는,Verb,2019-09-11,1
하다,Verb,2019-07-23,1
하루,Noun,2019-08-25,1
하면,Verb,2019-07-24,3
하소연,Noun,2019-07-25,2
하지,Verb,2019-07-23,2
하지,Verb,2019-07-24,1
하지,Verb,2019-08-31,2
학,Noun,2019-07-23,3
학대,Noun,2019-07-24,6
학대,Noun,2019-07-30,1
학대,Noun,2019-09-06,1
학부모,Noun,2019-08-14,1
학생,Noun,2019-07-25,1
학적,Noun,2019-07-24,1
한,Determiner,2019-07-23,3
한,Determiner,2019-07-24,4
한,Determiner,2019-07-25,1
한,Determiner,2019-07-26,1
한,Determiner,2019-09-01,1
한,Josa,2019-07-23,9
한,Josa,2019-07-24,13
한,Josa,2019-07-26,1
한,Josa,2019-07-27,1
한,Josa,2019-08-14,1
한,Josa,2019-08-31,2
한,Josa,2019-09-01,1
한,Verb,2019-07-23,7
한,Verb,2019-07-24,2
한,Verb,2019-07-25,2
한국,Noun,2019-07-23,2
한국,Noun,2019-07-24,1
한국,Noun,2019-07-27,1
한국,Noun,2019-07-28,1
한국인,Noun,2019-07-27,1
한다는,Modifier,2019-07-23,3
한다는,Modifier,2019-07-24,1
한다면,Verb,2019-07-24,2
한다면,Verb,2019-07-25,1
한마디,Noun,2019-07-24,1
한탄,Noun,2019-07-24,3
할,Verb,2019-07-23,3
할,Verb,2019-07-24,1
할,Verb,2019-07-25,1
할,Verb,2019-07-27,1
할,Verb,2019-08-14,1
할까,Verb,2019-07-25,1
할로윈,Noun,2019-07-26,2
할머니,Noun,2019-07-23,1
함께,Adverb,2019-07-26,1
함께,Adverb,2019-07-27,1
합의,Noun,2019-07-26,1
합치,Noun,2019-07-23,1
핫이슈,Noun,2019-09-01,1
해,Noun,2019-07-24,1
해,Verb,2019-07-24,4
해,Verb,2019-08-05,1
해,Verb,2019-08-17,1
해,Verb,2019-08-30,1
해달라,Verb,2019-07-24,1
해도,Noun,2019-07-24,1
해명,Noun,2019-09-06,3
해명,Noun,2019-09-07,1
해볼까,Verb,2019-08-23,1
해서는,Verb,2019-07-30,1
해야,Verb,2019-07-24,1
해야,Verb,2019-07-27,1
해야,Verb,2019-08-14,1
해외,Noun,2019-07-24,1
해외,Noun,2019-09-01,1
해주길,Verb,2019-07-24,1
핵찌,Noun,2019-07-30,1
했나,Verb,2019-07-23,1
했나,Verb,2019-07-24,1
했는데,Verb,2019-07-25,2
했다,Verb,2019-07-23,1
했다,Verb,2019-07-24,1
했다,Verb,2019-07-25,2
했다,Verb,2019-09-30,1
했던,Verb,2019-07-23,1
행동,Noun,2019-07-27,1
행보,Noun,2019-07-26,1
향,Noun,2019-07-24,4
허탈,Noun,2019-07-24,2
허하라,Verb,2019-08-02,1
헉,Adverb,2019-07-23,1
헉,Adverb,2019-07-24,1
헤어,Noun,2019-07-26,1
현,Modifier,2019-07-24,1
현실,Noun,2019-07-26,1
현실,Noun,2019-09-11,1
현재,Noun,2019-07-26,1
현재,Noun,2019-09-06,1
혐오,Noun,2019-07-24,5
혐의,Noun,2019-07-24,2
형,Suffix,2019-07-25,1
형성,Noun,2019-07-24,1
혹은,Adverb,2019-07-24,2
혼란,Noun,2019-07-29,1
홍준표,Noun,2019-07-23,1
홍카,Noun,2019-07-23,1
화,Suffix,2019-07-24,1
화들짝,Adverb,2019-07-24,1
화들짝,Adverb,2019-07-28,1
화제,Noun,2019-07-23,5
화제,Noun,2019-07-24,1
화제,Noun,2019-07-25,1
화제,Noun,2019-07-27,1
확,Noun,2019-09-30,1
확산,Noun,2019-07-24,1
확실히,Adjective,2019-07-27,1
확충,Noun,2019-08-31,1
환경,Noun,2019-07-26,1
환경,Noun,2019-08-31,1
황금,Noun,2019-07-24,1
황금,Noun,2019-09-01,2
황금알,Noun,2019-08-09,1
황금알,Noun,2019-08-31,1
황당,Noun,2019-07-24,1
회사,Noun,2019-07-23,14
회사,Noun,2019-07-24,1
회사,Noun,2019-08-23,1
회수,Noun,2019-07-24,6
회수,Noun,2019-07-26,1
회의,Noun,2019-07-25,2
횟수,Noun,2019-07-23,2
효리,Noun,2019-07-25,1
후끈,Noun,2019-07-24,1
후추,Noun,2019-09-01,1
훔쳐,Verb,2019-07-24,2
훔치기,Verb,2019-07-24,1
훔치는,Verb,2019-07-24,2
휘둥그레,Noun,2019-07-23,2
힘,Noun,2019-07-23,3
힘,Noun,2019-07-24,1
＋,Foreign,2019-07-23,1
